doc_id,doc_type,title_vi,content_vi,category,subcategory,tags,language,metadata_json
PATCH00001,glossary_rule,Glossary: Bench Press,Thuật ngữ Bench Press có policy: always_keep_english. Ghi chú: Luôn giữ nguyên tiếng Anh khi xuất hiện trong câu trả lời.,language_policy,exercise_name,Bench Press,vi+en_terms,"{""canonical_key"": ""barbell_chest_press"", ""term_group"": ""exercise_name""}"
PATCH00002,glossary_rule,Glossary: Incline Dumbbell Press,Thuật ngữ Incline Dumbbell Press có policy: always_keep_english. Ghi chú: Dùng cho upper chest.,language_policy,exercise_name,Incline Dumbbell Press,vi+en_terms,"{""canonical_key"": ""upper_chest_press"", ""term_group"": ""exercise_name""}"
PATCH00003,glossary_rule,Glossary: Decline Bench Press,Thuật ngữ Decline Bench Press có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Decline Bench Press,vi+en_terms,"{""canonical_key"": ""lower_chest_press"", ""term_group"": ""exercise_name""}"
PATCH00004,glossary_rule,Glossary: Cable Fly,Thuật ngữ Cable Fly có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Cable Fly,vi+en_terms,"{""canonical_key"": ""chest_fly"", ""term_group"": ""exercise_name""}"
PATCH00005,glossary_rule,Glossary: Push-Up,Thuật ngữ Push-Up có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Push-Up,vi+en_terms,"{""canonical_key"": ""bodyweight_push"", ""term_group"": ""exercise_name""}"
PATCH00006,glossary_rule,Glossary: Overhead Press,Thuật ngữ Overhead Press có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Overhead Press,vi+en_terms,"{""canonical_key"": ""vertical_press"", ""term_group"": ""exercise_name""}"
PATCH00007,glossary_rule,Glossary: Arnold Press,Thuật ngữ Arnold Press có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Arnold Press,vi+en_terms,"{""canonical_key"": ""shoulder_press"", ""term_group"": ""exercise_name""}"
PATCH00008,glossary_rule,Glossary: Lateral Raise,Thuật ngữ Lateral Raise có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Lateral Raise,vi+en_terms,"{""canonical_key"": ""side_delt_isolation"", ""term_group"": ""exercise_name""}"
PATCH00009,glossary_rule,Glossary: Rear Delt Fly,Thuật ngữ Rear Delt Fly có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Rear Delt Fly,vi+en_terms,"{""canonical_key"": ""rear_delt_isolation"", ""term_group"": ""exercise_name""}"
PATCH00010,glossary_rule,Glossary: Barbell Row,Thuật ngữ Barbell Row có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Barbell Row,vi+en_terms,"{""canonical_key"": ""horizontal_pull"", ""term_group"": ""exercise_name""}"
PATCH00011,glossary_rule,Glossary: Seated Cable Row,Thuật ngữ Seated Cable Row có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Seated Cable Row,vi+en_terms,"{""canonical_key"": ""horizontal_pull"", ""term_group"": ""exercise_name""}"
PATCH00012,glossary_rule,Glossary: Lat Pulldown,Thuật ngữ Lat Pulldown có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Lat Pulldown,vi+en_terms,"{""canonical_key"": ""vertical_pull"", ""term_group"": ""exercise_name""}"
PATCH00013,glossary_rule,Glossary: Pull-Up,Thuật ngữ Pull-Up có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Pull-Up,vi+en_terms,"{""canonical_key"": ""vertical_pull"", ""term_group"": ""exercise_name""}"
PATCH00014,glossary_rule,Glossary: Deadlift,Thuật ngữ Deadlift có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Deadlift,vi+en_terms,"{""canonical_key"": ""hip_hinge"", ""term_group"": ""exercise_name""}"
PATCH00015,glossary_rule,Glossary: Romanian Deadlift,Thuật ngữ Romanian Deadlift có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Romanian Deadlift,vi+en_terms,"{""canonical_key"": ""hip_hinge"", ""term_group"": ""exercise_name""}"
PATCH00016,glossary_rule,Glossary: Squat,Thuật ngữ Squat có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Squat,vi+en_terms,"{""canonical_key"": ""knee_dominant"", ""term_group"": ""exercise_name""}"
PATCH00017,glossary_rule,Glossary: Front Squat,Thuật ngữ Front Squat có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Front Squat,vi+en_terms,"{""canonical_key"": ""knee_dominant"", ""term_group"": ""exercise_name""}"
PATCH00018,glossary_rule,Glossary: Leg Press,Thuật ngữ Leg Press có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Leg Press,vi+en_terms,"{""canonical_key"": ""knee_dominant"", ""term_group"": ""exercise_name""}"
PATCH00019,glossary_rule,Glossary: Leg Extension,Thuật ngữ Leg Extension có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Leg Extension,vi+en_terms,"{""canonical_key"": ""quad_isolation"", ""term_group"": ""exercise_name""}"
PATCH00020,glossary_rule,Glossary: Leg Curl,Thuật ngữ Leg Curl có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Leg Curl,vi+en_terms,"{""canonical_key"": ""hamstring_isolation"", ""term_group"": ""exercise_name""}"
PATCH00021,glossary_rule,Glossary: Calf Raise,Thuật ngữ Calf Raise có policy: always_keep_english. Ghi chú: Giữ nguyên tiếng Anh trong output.,language_policy,exercise_name,Calf Raise,vi+en_terms,"{""canonical_key"": ""calf_isolation"", ""term_group"": ""exercise_name""}"
