meal_item_id,meal_plan_id,meal_number,meal_name_vi,food_id,portion_factor,estimated_kcal,estimated_protein_g,estimated_carbs_g,estimated_fat_g,estimated_fiber_g,note
MPI000001,MP0001,1,Bữa sáng,FD0075,1.0,120.0,24.0,4.0,1.5,0.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000002,MP0001,1,Bữa sáng,FD0023,1.0,87.0,1.9,20.1,0.1,1.8,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000003,MP0001,2,Bữa phụ 1,FD0067,0.8,164.0,15.2,0.0,11.2,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000004,MP0001,2,Bữa phụ 1,FD0033,1.0,57.0,0.7,14.5,0.3,2.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000005,MP0001,3,Bữa trưa,FD0005,1.2,249.6,24.0,0.0,15.6,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000006,MP0001,3,Bữa trưa,FD0027,1.2,144.0,5.3,25.6,2.3,3.4,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000007,MP0001,3,Bữa trưa,FD0052,1.5,25.5,1.8,4.7,0.4,1.5,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000008,MP0001,3,Bữa trưa,FD0091,0.5,43.0,1.3,1.7,3.8,0.9,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000009,MP0001,4,Bữa phụ 2,FD0106,0.8,108.0,16.0,3.2,2.9,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000010,MP0001,4,Bữa phụ 2,FD0088,1.0,113.0,1.0,30.0,0.2,3.2,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
MPI000011,MP0001,5,Bữa tối,FD0071,1.2,180.0,24.0,14.4,2.4,0.0,Có thể thay bằng thực phẩm tương đương macro nếu cần đổi món.
