[0.560] @(82, 40) nBody
[0.170] @(161, 194) .
[0.940] @(634, 178) Te
[0.880] @(138, 192) 246113
[0.580] @(322, 198) 173m
[0.550] @(458, 198) 21
[0.850] @(618, 179) |
[0.480] @(644, 179) og
[0.040] @(655, 183) toate
[0.300] @(730, 179) Ti
[0.960] @(740, 203) ime
[0.570] @(637, 207) 29.12,
[0.570] @(700, 217) 2095
[0.620] @(751, 229) |
[0.930] @(759, 228) 7:36
[0.960] @(84, 286) Body
[0.960] @(154, 291) Composition
[0.960] @(313, 289) Analysis
[0.450] @(858, 300) de
[0.540] @(86, 335) Toialamountof
[0.530] @(211, 318) waterinmybody
[0.880] @(359, 334) Total
[0.940] @(415, 333) Body
[0.910] @(474, 333) Water
[0.560] @(558, 322) (1)|
[0.670] @(629, 334) 43.7
[0.260] @(718, 337) ar
[0.880] @(863, 326) InBody
[0.960] @(938, 325) Score
[0.650] @(725, 354) 1.0~45.2
[0.730] @(809, 355) )
[0.780] @(703, 385) (
[0.940] @(992, 358) 7
[0.850] @(1020, 355) 6)
[0.830] @(1058, 360) 1.00
[0.960] @(1097, 370) Points
[0.390] @(723, 392) 9.9~12.1
[0.390] @(810, 394) )
[0.960] @(1189, 388) body
[0.900] @(1185, 392) t
[0.960] @(1125, 401) ation
[0.960] @(1165, 394) of
[0.690] @(1227, 408) er
[0.960] @(1123, 420) may
[0.960] @(1160, 414) score
[0.880] @(1205, 411) ove
[0.820] @(88, 379) What
[0.900] @(135, 379) |
[0.870] @(143, 379) need
[0.900] @(185, 381) to
[0.920] @(205, 380) build
[0.960] @(244, 380) muscles
[0.960] @(360, 371) Protein
[0.360] @(559, 374) (ke),
[0.540] @(633, 376) 11.8
[0.950] @(89, 421) What
[0.800] @(133, 415) |
[0.940] @(147, 421) need
[0.960] @(186, 421) for
[0.930] @(210, 422) strong
[0.950] @(262, 421) bones
[0.960] @(358, 415) Mineral
[0.620] @(560, 404) kg)|
[0.800] @(631, 417) 3.81
[0.880] @(946, 415) re
[0.950] @(965, 410) that
[0.940] @(997, 409) reflects
[0.930] @(1055, 406) the
[0.900] @(965, 430) n.
[0.910] @(996, 425) Amuscular
[0.960] @(1068, 424) person
[0.450] @(704, 421) (3.
[0.450] @(736, 433) 43~4.19
[0.850] @(807, 421) )
[0.610] @(882, 436) cor
[0.030] @(571, 463) =
[0.950] @(885, 448) 100
[0.950] @(943, 446) points
[0.920] @(89, 462) Where
[0.960] @(147, 466) my
[0.930] @(175, 466) excess
[0.950] @(306, 463) stored
[0.960] @(363, 462) Body
[0.960] @(423, 461) Fat
[0.960] @(461, 459) Mass
[0.520] @(561, 458) (kg)}
[0.180] @(636, 460) 18.0
[0.960] @(869, 470) Weight
[0.500] @(945, 466) Control
[0.570] @(594, 475) |
[0.800] @(725, 467) 7.9~15.8
[0.890] @(809, 461) )
[0.960] @(90, 503) Sum
[0.960] @(131, 490) of
[0.960] @(140, 503) the
[0.940] @(178, 503) above
[0.960] @(362, 490) Weight
[0.370] @(562, 492) (ke)
[0.450] @(633, 503) 77.3
[0.860] @(873, 503) Target
[0.940] @(921, 500) Weight
[0.940] @(1046, 498) 69.
[0.850] @(1084, 498) 8
[0.880] @(1101, 499) ke
[0.620] @(427, 532) =p
[0.560] @(595, 526) t
[0.960] @(874, 526) Weight
[0.940] @(928, 526) Control
[0.690] @(1061, 523) 7.
[0.360] @(1087, 524) 5
[0.360] @(1103, 526) kg
[0.960] @(877, 551) Fat
[0.900] @(905, 552) Control
[0.880] @(1063, 550) 7.
[0.590] @(1089, 550) 5
[0.590] @(1105, 552) kg
[0.960] @(879, 576) Muscle
[0.810] @(935, 577) Control
[0.940] @(1065, 576) 0.
[0.760] @(1090, 576) 0
[0.760] @(1108, 578) kg
[0.910] @(92, 603) Muscle-Fat
[0.960] @(234, 602) Analysis
[0.930] @(880, 607) Obesity
[0.880] @(963, 607) Evatuation
[0.250] @(91, 619) es
[0.220] @(260, 620) aa
[0.230] @(690, 611) ae
[0.520] @(789, 648) —
[0.430] @(883, 638) il
[0.010] @(991, 636) ciNormal
[0.210] @(1176, 625) elie
[0.500] @(1180, 657) OOver
[0.020] @(97, 679) Weight
[0.840] @(505, 678) 7
[0.570] @(530, 668) re
[0.120] @(1106, 685) -
[0.210] @(93, 716) SMM
[0.160] @(238, 703) =
[0.210] @(321, 709) ®
[0.550] @(418, 705) 100
[0.100] @(520, 704) Be
[0.620] @(579, 708) io
[0.610] @(632, 708) 0
[0.320] @(692, 709) 8
[0.140] @(746, 713) agp
[0.350] @(787, 709) a0
[0.490] @(822, 699) ™
[0.920] @(886, 701) PBF
[0.140] @(995, 678) Normal
[0.440] @(1081, 678) Wf
[0.590] @(1101, 678) Slightly
[0.220] @(1187, 681) Over
[0.400] @(141, 745) Hho
[0.030] @(188, 746) _
[0.130] @(246, 719) ET
[0.730] @(508, 739) 5
[0.170] @(963, 719) rf
[0.160] @(1028, 735) 7
[0.230] @(163, 763) es
[0.330] @(319, 758) 5
[0.360] @(349, 758) es
[0.220] @(526, 755) eh
[0.340] @(579, 753) a
[0.290] @(788, 753) ae
[0.140] @(989, 733) Leute
[0.480] @(1142, 751) 0.
[0.460] @(1169, 735) 80_0.
[0.460] @(1226, 748) 90
[0.740] @(88, 758) Body
[0.020] @(132, 762) Fats
[0.930] @(204, 783) (
[0.210] @(185, 747) a
[0.700] @(520, 778) 18.
[0.700] @(555, 778) 0
[0.420] @(677, 800) |
[0.950] @(960, 783) 0.94
[0.050] @(1081, 817) ———————
[0.900] @(892, 824) visceral
[0.960] @(983, 824) Fat
[0.960] @(1018, 816) Level
[0.320] @(1104, 843) tm
[0.960] @(1196, 836) 10
[0.650] @(1262, 834) Hi
[0.960] @(82, 881) Obesity
[0.950] @(179, 877) Analysis
[0.920] @(947, 875) Level
[0.920] @(1012, 872) 8
[0.190] @(234, 893) ee
[0.110] @(378, 897) ach
[0.940] @(1007, 908) Parameters
[0.310] @(263, 950) Jo
[0.340] @(312, 941) 120
[0.130] @(367, 939) 48s
[0.540] @(418, 939) 20
[0.470] @(473, 934) 2.0
[0.820] @(530, 940) 900
[0.760] @(583, 940) 98.0
[0.700] @(637, 938) 40.0)
[0.390] @(689, 939) a0
[0.610] @(743, 938) S60
[0.530] @(797, 935) 550
[0.940] @(1092, 935) 59.3
[0.310] @(82, 953) een
[0.320] @(203, 963) ws
[0.180] @(219, 959) |
[0.950] @(506, 956) 25.8
[0.960] @(903, 943) Fat
[0.940] @(936, 943) Free
[0.950] @(979, 943) Mass
[0.090] @(1080, 949) 299.
[0.820] @(1152, 943) Oke
[0.190] @(1240, 966) 7
[0.150] @(158, 993) SS
[0.320] @(336, 989) ae
[0.150] @(525, 962) a
[0.210] @(566, 985) a
[0.290] @(1254, 964) oon)
[0.590] @(79, 1007) PBF
[0.240] @(242, 1002) gS
[0.870] @(536, 1010) 23.3
[0.960] @(907, 996) Obesity
[0.950] @(976, 996) Degree
[0.750] @(1111, 1001) 117%
[0.490] @(1198, 1000) (
[0.620] @(1233, 1000) 90~110
[0.870] @(1314, 998) )
[0.910] @(909, 1040) Recommended
[0.310] @(1006, 1031) calofe
[0.470] @(1049, 1031) inteke
[0.920] @(1102, 1035) 2363
[0.350] @(1154, 1031) kcal
