guidance_id,condition_code,condition_name_vi,population_code,population_name_vi,topic_code,topic_name_vi,guidance_text,warning_level,medical_disclaimer
HG00001,DOMS,Đau nhức cơ khởi phát muộn,office_worker,Dân văn phòng,training_modification,Điều chỉnh bài tập,"Đau nhức cơ khởi phát muộn ở nhóm dân văn phòng: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00002,DOMS,Đau nhức cơ khởi phát muộn,office_worker,Dân văn phòng,recovery,Hồi phục,"Đau nhức cơ khởi phát muộn ở nhóm dân văn phòng: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00003,DOMS,Đau nhức cơ khởi phát muộn,office_worker,Dân văn phòng,nutrition,Dinh dưỡng,"Đau nhức cơ khởi phát muộn ở nhóm dân văn phòng: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00004,DOMS,Đau nhức cơ khởi phát muộn,office_worker,Dân văn phòng,load_management,Quản lý tải,Đau nhức cơ khởi phát muộn ở nhóm dân văn phòng: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.,general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00005,DOMS,Đau nhức cơ khởi phát muộn,office_worker,Dân văn phòng,warning_signs,Dấu hiệu cần thận trọng,"Đau nhức cơ khởi phát muộn ở nhóm dân văn phòng: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00006,DOMS,Đau nhức cơ khởi phát muộn,student,Sinh viên,training_modification,Điều chỉnh bài tập,"Đau nhức cơ khởi phát muộn ở nhóm sinh viên: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00007,DOMS,Đau nhức cơ khởi phát muộn,student,Sinh viên,recovery,Hồi phục,"Đau nhức cơ khởi phát muộn ở nhóm sinh viên: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00008,DOMS,Đau nhức cơ khởi phát muộn,student,Sinh viên,nutrition,Dinh dưỡng,"Đau nhức cơ khởi phát muộn ở nhóm sinh viên: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00009,DOMS,Đau nhức cơ khởi phát muộn,student,Sinh viên,load_management,Quản lý tải,Đau nhức cơ khởi phát muộn ở nhóm sinh viên: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.,general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00010,DOMS,Đau nhức cơ khởi phát muộn,student,Sinh viên,warning_signs,Dấu hiệu cần thận trọng,"Đau nhức cơ khởi phát muộn ở nhóm sinh viên: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Nếu đau sắc nhói, sưng, tê lan, chóng mặt hoặc khó thở, nên dừng tập và tham khảo chuyên gia y tế.",review,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00011,DOMS,Đau nhức cơ khởi phát muộn,busy_parent,Người bận rộn,training_modification,Điều chỉnh bài tập,"Đau nhức cơ khởi phát muộn ở nhóm người bận rộn: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chọn bài dễ kiểm soát hơn, giữ 2-4 RIR, ưu tiên máy hoặc bodyweight khi kỹ thuật chưa ổn.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00012,DOMS,Đau nhức cơ khởi phát muộn,busy_parent,Người bận rộn,recovery,Hồi phục,"Đau nhức cơ khởi phát muộn ở nhóm người bận rộn: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Ngủ đủ, đi bộ nhẹ, giãn nhẹ sau tập và không tăng volume khi cơ thể chưa phục hồi.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00013,DOMS,Đau nhức cơ khởi phát muộn,busy_parent,Người bận rộn,nutrition,Dinh dưỡng,"Đau nhức cơ khởi phát muộn ở nhóm người bận rộn: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Giữ protein đủ, ăn rau quả, uống nước đầy đủ và không cắt năng lượng quá sâu nếu vẫn cần tập đều.",general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
HG00014,DOMS,Đau nhức cơ khởi phát muộn,busy_parent,Người bận rộn,load_management,Quản lý tải,Đau nhức cơ khởi phát muộn ở nhóm người bận rộn: Phân biệt đau nhức cơ thông thường với đau khớp hoặc đau sắc nhói. Chỉ tăng tải khi hoàn thành rep với kỹ thuật tốt trong 2 buổi liên tiếp; deload nếu hiệu suất giảm kéo dài.,general,"Thông tin này chỉ mang tính giáo dục, không thay thế tư vấn y khoa cá nhân."
