example_id,intent_key,user_query_vi,response_style,expected_sections,must_use_terms_en,sample_plan_compact,notes_vi
EXM001,workout_plan_request,Tôi muốn tăng cơ với lịch 3 buổi/tuần,table_like,Mục tiêu;Workout plan;Cardio;Ghi chú cá nhân hóa,"Bench Press, sets, reps, rest, volume",Thứ 2|Full Body|Squat|4|6-8|90 giây; Thứ 4|Full Body|Bench Press|4|6-8|90 giây; Thứ 6|Full Body|Romanian Deadlift|4|8-10|90 giây,Split đề xuất: full_body. Nếu thiếu profile thì ghi rõ đây là plan mẫu.
EXM002,workout_plan_request,Tôi muốn tăng cơ với lịch 5 buổi/tuần,table_like,Mục tiêu;Workout plan;Cardio;Ghi chú cá nhân hóa,"Bench Press, sets, reps, rest, volume",Thứ 2|Push|Bench Press|4|6-8|90 giây; Thứ 3|Pull|Lat Pulldown|4|8-10|75 giây; Thứ 4|Legs|Squat|4|6-8|90 giây; Thứ 6|Upper|Incline Dumbbell Press|4|8-10|75 giây; Thứ 7|Lower|Romanian Deadlift|4|8-10|90 giây,Split đề xuất: push_pull_legs_upper_lower. Nếu thiếu profile thì ghi rõ đây là plan mẫu.
EXM003,workout_plan_request,"Tôi tập 4 ngày một tuần, mục tiêu giảm cân",table_like,Mục tiêu;Workout plan;Cardio;Ghi chú cá nhân hóa,"Bench Press, sets, reps, rest, volume",Thứ 2|Upper|Bench Press|4|6-8|90 giây; Thứ 3|Lower|Squat|4|6-8|90 giây; Thứ 5|Upper|Lat Pulldown|4|8-10|75 giây; Thứ 6|Lower|Leg Press|4|10-12|75 giây,Split đề xuất: upper_lower. Nếu thiếu profile thì ghi rõ đây là plan mẫu.
EXM004,workout_plan_request,"Tôi tập 3 ngày một tuần, mục tiêu giảm cân",table_like,Mục tiêu;Workout plan;Cardio;Ghi chú cá nhân hóa,"Bench Press, sets, reps, rest, volume",Thứ 2|Full Body|Squat|4|6-8|90 giây; Thứ 4|Full Body|Bench Press|4|6-8|90 giây; Thứ 6|Full Body|Romanian Deadlift|4|8-10|90 giây,Split đề xuất: full_body. Nếu thiếu profile thì ghi rõ đây là plan mẫu.
EXM005,workout_plan_request,"Tôi muốn vừa giảm mỡ vừa giữ cơ, tập 3 buổi/tuần",table_like,Mục tiêu;Workout plan;Cardio;Ghi chú cá nhân hóa,"Bench Press, sets, reps, rest, volume",Thứ 2|Full Body|Squat|4|6-8|90 giây; Thứ 4|Full Body|Bench Press|4|6-8|90 giây; Thứ 6|Full Body|Romanian Deadlift|4|8-10|90 giây,Split đề xuất: full_body. Nếu thiếu profile thì ghi rõ đây là plan mẫu.
EXM006,workout_plan_request,Tôi muốn giảm mỡ và tập 4 buổi/tuần,table_like,Mục tiêu;Workout plan;Cardio;Ghi chú cá nhân hóa,"Bench Press, sets, reps, rest, volume",Thứ 2|Upper|Bench Press|4|6-8|90 giây; Thứ 3|Lower|Squat|4|6-8|90 giây; Thứ 5|Upper|Lat Pulldown|4|8-10|75 giây; Thứ 6|Lower|Leg Press|4|10-12|75 giây,Split đề xuất: upper_lower. Nếu thiếu profile thì ghi rõ đây là plan mẫu.
EXM007,workout_plan_request,Tập 3 buổi để tăng cơ,table_like,Mục tiêu;Workout plan;Cardio;Ghi chú cá nhân hóa,"Bench Press, sets, reps, rest, volume",Thứ 2|Full Body|Squat|4|6-8|90 giây; Thứ 4|Full Body|Bench Press|4|6-8|90 giây; Thứ 6|Full Body|Romanian Deadlift|4|8-10|90 giây,Split đề xuất: full_body. Nếu thiếu profile thì ghi rõ đây là plan mẫu.
EXM008,workout_plan_request,Tôi muốn giảm mỡ và tập 6 buổi/tuần,table_like,Mục tiêu;Workout plan;Cardio;Ghi chú cá nhân hóa,"Bench Press, sets, reps, rest, volume",Thứ 2|Push|Bench Press|4|6-8|90 giây; Thứ 3|Pull|Barbell Row|4|8-10|75 giây; Thứ 4|Legs|Squat|4|6-8|90 giây; Thứ 5|Push|Overhead Press|4|6-8|90 giây; Thứ 6|Pull|Seated Cable Row|4|8-10|75 giây; Thứ 7|Legs|Romanian Deadlift|4|8-10|90 giây,Split đề xuất: push_pull_legs_x2. Nếu thiếu profile thì ghi rõ đây là plan mẫu.
EXM009,workout_plan_request,"Tôi muốn vừa giảm mỡ vừa giữ cơ, tập 5 buổi/tuần",table_like,Mục tiêu;Workout plan;Cardio;Ghi chú cá nhân hóa,"Bench Press, sets, reps, rest, volume",Thứ 2|Push|Bench Press|4|6-8|90 giây; Thứ 3|Pull|Lat Pulldown|4|8-10|75 giây; Thứ 4|Legs|Squat|4|6-8|90 giây; Thứ 6|Upper|Incline Dumbbell Press|4|8-10|75 giây; Thứ 7|Lower|Romanian Deadlift|4|8-10|90 giây,Split đề xuất: push_pull_legs_upper_lower. Nếu thiếu profile thì ghi rõ đây là plan mẫu.
EXM010,workout_plan_request,Cho tôi lịch tập 6 buổi để giảm mỡ,table_like,Mục tiêu;Workout plan;Cardio;Ghi chú cá nhân hóa,"Bench Press, sets, reps, rest, volume",Thứ 2|Push|Bench Press|4|6-8|90 giây; Thứ 3|Pull|Barbell Row|4|8-10|75 giây; Thứ 4|Legs|Squat|4|6-8|90 giây; Thứ 5|Push|Overhead Press|4|6-8|90 giây; Thứ 6|Pull|Seated Cable Row|4|8-10|75 giây; Thứ 7|Legs|Romanian Deadlift|4|8-10|90 giây,Split đề xuất: push_pull_legs_x2. Nếu thiếu profile thì ghi rõ đây là plan mẫu.
