meal_plan_id,plan_title_vi,goal_code,goal_name_vi,target_kcal,style_code,style_name_vi,level_code,level_name_vi,meals_per_day,protein_target_g,fat_target_g,carb_target_g,hydration_guideline,meal_timing_note,notes
MP0001,Meal plan Giảm mỡ 1600 kcal - cân bằng,fat_loss,Giảm mỡ,1600,balanced,cân bằng,beginner,Mới bắt đầu,5,140,44,161,Uống đủ nước trong ngày; tăng nước và điện giải khi tập nặng hoặc đổ mồ hôi nhiều.,Chia protein tương đối đều qua các bữa; ưu tiên bữa giàu protein sau tập trong 1-3 giờ.,"Số liệu dinh dưỡng mang tính xấp xỉ; cần chỉnh theo cân nặng, khẩu vị và bệnh lý cá nhân."
MP0002,Meal plan Giảm mỡ 1600 kcal - cân bằng,fat_loss,Giảm mỡ,1600,balanced,cân bằng,intermediate,Trung cấp,5,156,44,145,Uống đủ nước trong ngày; tăng nước và điện giải khi tập nặng hoặc đổ mồ hôi nhiều.,Chia protein tương đối đều qua các bữa; ưu tiên bữa giàu protein sau tập trong 1-3 giờ.,"Số liệu dinh dưỡng mang tính xấp xỉ; cần chỉnh theo cân nặng, khẩu vị và bệnh lý cá nhân."
MP0003,Meal plan Giảm mỡ 1600 kcal - giàu protein,fat_loss,Giảm mỡ,1600,high_protein,giàu protein,beginner,Mới bắt đầu,4,140,44,161,Uống đủ nước trong ngày; tăng nước và điện giải khi tập nặng hoặc đổ mồ hôi nhiều.,Chia protein tương đối đều qua các bữa; ưu tiên bữa giàu protein sau tập trong 1-3 giờ.,"Số liệu dinh dưỡng mang tính xấp xỉ; cần chỉnh theo cân nặng, khẩu vị và bệnh lý cá nhân."
MP0004,Meal plan Giảm mỡ 1600 kcal - giàu protein,fat_loss,Giảm mỡ,1600,high_protein,giàu protein,intermediate,Trung cấp,5,156,44,145,Uống đủ nước trong ngày; tăng nước và điện giải khi tập nặng hoặc đổ mồ hôi nhiều.,Chia protein tương đối đều qua các bữa; ưu tiên bữa giàu protein sau tập trong 1-3 giờ.,"Số liệu dinh dưỡng mang tính xấp xỉ; cần chỉnh theo cân nặng, khẩu vị và bệnh lý cá nhân."
MP0005,Meal plan Giảm mỡ 1600 kcal - ăn chay có sữa/trứng,fat_loss,Giảm mỡ,1600,vegetarian,ăn chay có sữa/trứng,beginner,Mới bắt đầu,4,140,44,161,Uống đủ nước trong ngày; tăng nước và điện giải khi tập nặng hoặc đổ mồ hôi nhiều.,Chia protein tương đối đều qua các bữa; ưu tiên bữa giàu protein sau tập trong 1-3 giờ.,"Số liệu dinh dưỡng mang tính xấp xỉ; cần chỉnh theo cân nặng, khẩu vị và bệnh lý cá nhân."
MP0006,Meal plan Giảm mỡ 1600 kcal - ăn chay có sữa/trứng,fat_loss,Giảm mỡ,1600,vegetarian,ăn chay có sữa/trứng,intermediate,Trung cấp,4,156,44,145,Uống đủ nước trong ngày; tăng nước và điện giải khi tập nặng hoặc đổ mồ hôi nhiều.,Chia protein tương đối đều qua các bữa; ưu tiên bữa giàu protein sau tập trong 1-3 giờ.,"Số liệu dinh dưỡng mang tính xấp xỉ; cần chỉnh theo cân nặng, khẩu vị và bệnh lý cá nhân."
MP0007,Meal plan Giảm mỡ 1600 kcal - meal prep nhanh,fat_loss,Giảm mỡ,1600,quick_prep,meal prep nhanh,beginner,Mới bắt đầu,3,140,44,161,Uống đủ nước trong ngày; tăng nước và điện giải khi tập nặng hoặc đổ mồ hôi nhiều.,Chia protein tương đối đều qua các bữa; ưu tiên bữa giàu protein sau tập trong 1-3 giờ.,"Số liệu dinh dưỡng mang tính xấp xỉ; cần chỉnh theo cân nặng, khẩu vị và bệnh lý cá nhân."
MP0008,Meal plan Giảm mỡ 1600 kcal - meal prep nhanh,fat_loss,Giảm mỡ,1600,quick_prep,meal prep nhanh,intermediate,Trung cấp,3,156,44,145,Uống đủ nước trong ngày; tăng nước và điện giải khi tập nặng hoặc đổ mồ hôi nhiều.,Chia protein tương đối đều qua các bữa; ưu tiên bữa giàu protein sau tập trong 1-3 giờ.,"Số liệu dinh dưỡng mang tính xấp xỉ; cần chỉnh theo cân nặng, khẩu vị và bệnh lý cá nhân."
MP0009,Meal plan Giảm mỡ 1800 kcal - cân bằng,fat_loss,Giảm mỡ,1800,balanced,cân bằng,beginner,Mới bắt đầu,3,140,50,198,Uống đủ nước trong ngày; tăng nước và điện giải khi tập nặng hoặc đổ mồ hôi nhiều.,Chia protein tương đối đều qua các bữa; ưu tiên bữa giàu protein sau tập trong 1-3 giờ.,"Số liệu dinh dưỡng mang tính xấp xỉ; cần chỉnh theo cân nặng, khẩu vị và bệnh lý cá nhân."
MP0010,Meal plan Giảm mỡ 1800 kcal - cân bằng,fat_loss,Giảm mỡ,1800,balanced,cân bằng,intermediate,Trung cấp,3,156,50,182,Uống đủ nước trong ngày; tăng nước và điện giải khi tập nặng hoặc đổ mồ hôi nhiều.,Chia protein tương đối đều qua các bữa; ưu tiên bữa giàu protein sau tập trong 1-3 giờ.,"Số liệu dinh dưỡng mang tính xấp xỉ; cần chỉnh theo cân nặng, khẩu vị và bệnh lý cá nhân."
MP0011,Meal plan Giảm mỡ 1800 kcal - giàu protein,fat_loss,Giảm mỡ,1800,high_protein,giàu protein,beginner,Mới bắt đầu,4,140,50,198,Uống đủ nước trong ngày; tăng nước và điện giải khi tập nặng hoặc đổ mồ hôi nhiều.,Chia protein tương đối đều qua các bữa; ưu tiên bữa giàu protein sau tập trong 1-3 giờ.,"Số liệu dinh dưỡng mang tính xấp xỉ; cần chỉnh theo cân nặng, khẩu vị và bệnh lý cá nhân."
MP0012,Meal plan Giảm mỡ 1800 kcal - giàu protein,fat_loss,Giảm mỡ,1800,high_protein,giàu protein,intermediate,Trung cấp,4,156,50,182,Uống đủ nước trong ngày; tăng nước và điện giải khi tập nặng hoặc đổ mồ hôi nhiều.,Chia protein tương đối đều qua các bữa; ưu tiên bữa giàu protein sau tập trong 1-3 giờ.,"Số liệu dinh dưỡng mang tính xấp xỉ; cần chỉnh theo cân nặng, khẩu vị và bệnh lý cá nhân."
