doc_id,doc_type,title_vi,content_vi,category,subcategory,tags,language,metadata_json
EX00001,exercise,Đẩy ngực phẳng với tạ đòn,"Bài tập: Đẩy ngực phẳng với tạ đòn. Nhóm cơ chính: Ngực. Nhóm cơ phụ: Vai trước, Tay sau. Thiết bị: Tạ đòn, Ghế tập. Độ khó: Trung cấp. Setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Cách thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Lỗi thường gặp: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Tăng tiến: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do. Lưu ý an toàn: Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai. Gợi ý rep tăng cơ 6-12, sức mạnh 3-6, sức bền 12-20. Nghỉ 90 giây, tempo 3-1-1-0.",strength,chest_press,ngực|đẩy ngang|barbell|compound,vi,"{""movement_pattern"": ""horizontal_push"", ""difficulty"": ""intermediate"", ""equipment"": [""barbell"", ""bench""]}"
EX00002,exercise,Đẩy ngực phẳng với tạ đơn,"Bài tập: Đẩy ngực phẳng với tạ đơn. Nhóm cơ chính: Ngực. Nhóm cơ phụ: Vai trước, Tay sau. Thiết bị: Tạ đơn, Ghế tập. Độ khó: Trung cấp. Setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Cách thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Lỗi thường gặp: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Tăng tiến: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do. Lưu ý an toàn: Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai. Gợi ý rep tăng cơ 6-12, sức mạnh 3-6, sức bền 12-20. Nghỉ 75 giây, tempo 3-1-1-0.",strength,chest_press,ngực|đẩy ngang|dumbbell|compound,vi,"{""movement_pattern"": ""horizontal_push"", ""difficulty"": ""intermediate"", ""equipment"": [""dumbbell"", ""bench""]}"
EX00003,exercise,Đẩy ngực phẳng với máy,"Bài tập: Đẩy ngực phẳng với máy. Nhóm cơ chính: Ngực. Nhóm cơ phụ: Vai trước, Tay sau. Thiết bị: Máy tập, Ghế tập. Độ khó: Mới bắt đầu. Setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Cách thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Lỗi thường gặp: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Tăng tiến: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do. Lưu ý an toàn: Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai. Gợi ý rep tăng cơ 6-12, sức mạnh 3-6, sức bền 12-20. Nghỉ 75 giây, tempo 3-1-1-0.",strength,chest_press,ngực|đẩy ngang|machine|compound,vi,"{""movement_pattern"": ""horizontal_push"", ""difficulty"": ""beginner"", ""equipment"": [""machine"", ""bench""]}"
EX00004,exercise,Đẩy ngực phẳng với máy smith,"Bài tập: Đẩy ngực phẳng với máy smith. Nhóm cơ chính: Ngực. Nhóm cơ phụ: Vai trước, Tay sau. Thiết bị: Máy smith, Ghế tập. Độ khó: Mới bắt đầu. Setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Cách thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Lỗi thường gặp: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Tăng tiến: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do. Lưu ý an toàn: Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai. Gợi ý rep tăng cơ 6-12, sức mạnh 3-6, sức bền 12-20. Nghỉ 90 giây, tempo 3-1-1-0.",strength,chest_press,ngực|đẩy ngang|smith_machine|compound,vi,"{""movement_pattern"": ""horizontal_push"", ""difficulty"": ""beginner"", ""equipment"": [""smith_machine"", ""bench""]}"
EX00005,exercise,Đẩy ngực dốc lên với tạ đòn,"Bài tập: Đẩy ngực dốc lên với tạ đòn. Nhóm cơ chính: Ngực. Nhóm cơ phụ: Vai trước, Tay sau. Thiết bị: Tạ đòn, Ghế tập. Độ khó: Trung cấp. Setup: Thiết lập ghế dốc lên, siết vai sau, đặt chân chắc trên sàn. Cách thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Lỗi thường gặp: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Tăng tiến: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do. Lưu ý an toàn: Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai. Gợi ý rep tăng cơ 6-12, sức mạnh 3-6, sức bền 12-20. Nghỉ 90 giây, tempo 3-1-1-0.",strength,chest_press,ngực|đẩy ngang|barbell|compound,vi,"{""movement_pattern"": ""horizontal_push"", ""difficulty"": ""intermediate"", ""equipment"": [""barbell"", ""bench""]}"
EX00006,exercise,Đẩy ngực dốc lên với tạ đơn,"Bài tập: Đẩy ngực dốc lên với tạ đơn. Nhóm cơ chính: Ngực. Nhóm cơ phụ: Vai trước, Tay sau. Thiết bị: Tạ đơn, Ghế tập. Độ khó: Trung cấp. Setup: Thiết lập ghế dốc lên, siết vai sau, đặt chân chắc trên sàn. Cách thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Lỗi thường gặp: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Tăng tiến: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do. Lưu ý an toàn: Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai. Gợi ý rep tăng cơ 6-12, sức mạnh 3-6, sức bền 12-20. Nghỉ 75 giây, tempo 3-1-1-0.",strength,chest_press,ngực|đẩy ngang|dumbbell|compound,vi,"{""movement_pattern"": ""horizontal_push"", ""difficulty"": ""intermediate"", ""equipment"": [""dumbbell"", ""bench""]}"
EX00007,exercise,Đẩy ngực dốc lên với máy,"Bài tập: Đẩy ngực dốc lên với máy. Nhóm cơ chính: Ngực. Nhóm cơ phụ: Vai trước, Tay sau. Thiết bị: Máy tập, Ghế tập. Độ khó: Mới bắt đầu. Setup: Thiết lập ghế dốc lên, siết vai sau, đặt chân chắc trên sàn. Cách thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Lỗi thường gặp: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Tăng tiến: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do. Lưu ý an toàn: Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai. Gợi ý rep tăng cơ 6-12, sức mạnh 3-6, sức bền 12-20. Nghỉ 75 giây, tempo 3-1-1-0.",strength,chest_press,ngực|đẩy ngang|machine|compound,vi,"{""movement_pattern"": ""horizontal_push"", ""difficulty"": ""beginner"", ""equipment"": [""machine"", ""bench""]}"
EX00008,exercise,Đẩy ngực dốc lên với máy smith,"Bài tập: Đẩy ngực dốc lên với máy smith. Nhóm cơ chính: Ngực. Nhóm cơ phụ: Vai trước, Tay sau. Thiết bị: Máy smith, Ghế tập. Độ khó: Mới bắt đầu. Setup: Thiết lập ghế dốc lên, siết vai sau, đặt chân chắc trên sàn. Cách thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Lỗi thường gặp: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Tăng tiến: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do. Lưu ý an toàn: Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai. Gợi ý rep tăng cơ 6-12, sức mạnh 3-6, sức bền 12-20. Nghỉ 90 giây, tempo 3-1-1-0.",strength,chest_press,ngực|đẩy ngang|smith_machine|compound,vi,"{""movement_pattern"": ""horizontal_push"", ""difficulty"": ""beginner"", ""equipment"": [""smith_machine"", ""bench""]}"
EX00009,exercise,Đẩy ngực dốc xuống với tạ đòn,"Bài tập: Đẩy ngực dốc xuống với tạ đòn. Nhóm cơ chính: Ngực. Nhóm cơ phụ: Vai trước, Tay sau. Thiết bị: Tạ đòn, Ghế tập. Độ khó: Trung cấp. Setup: Thiết lập ghế dốc xuống, siết vai sau, đặt chân chắc trên sàn. Cách thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Lỗi thường gặp: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Tăng tiến: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do. Lưu ý an toàn: Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai. Gợi ý rep tăng cơ 6-12, sức mạnh 3-6, sức bền 12-20. Nghỉ 90 giây, tempo 3-1-1-0.",strength,chest_press,ngực|đẩy ngang|barbell|compound,vi,"{""movement_pattern"": ""horizontal_push"", ""difficulty"": ""intermediate"", ""equipment"": [""barbell"", ""bench""]}"
EX00010,exercise,Đẩy ngực dốc xuống với tạ đơn,"Bài tập: Đẩy ngực dốc xuống với tạ đơn. Nhóm cơ chính: Ngực. Nhóm cơ phụ: Vai trước, Tay sau. Thiết bị: Tạ đơn, Ghế tập. Độ khó: Trung cấp. Setup: Thiết lập ghế dốc xuống, siết vai sau, đặt chân chắc trên sàn. Cách thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Lỗi thường gặp: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Hồi quy: Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ. Tăng tiến: Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do. Lưu ý an toàn: Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai. Gợi ý rep tăng cơ 6-12, sức mạnh 3-6, sức bền 12-20. Nghỉ 75 giây, tempo 3-1-1-0.",strength,chest_press,ngực|đẩy ngang|dumbbell|compound,vi,"{""movement_pattern"": ""horizontal_push"", ""difficulty"": ""intermediate"", ""equipment"": [""dumbbell"", ""bench""]}"
