plan_day_id,plan_id,day_number,day_title_vi,focus,warmup,cooldown,intensity_note
WPD00001,WP0001,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00002,WP0001,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00003,WP0001,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00004,WP0002,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00005,WP0002,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00006,WP0002,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00007,WP0003,1,Ngày 1 - Upper Push,upper_push,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00008,WP0003,2,Ngày 2 - Lower,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00009,WP0003,3,Ngày 3 - Upper Pull,upper_pull,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00010,WP0003,4,Ngày 4 - Lower + Core,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00011,WP0004,1,Ngày 1 - Upper Push,upper_push,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00012,WP0004,2,Ngày 2 - Lower,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00013,WP0004,3,Ngày 3 - Upper Pull,upper_pull,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00014,WP0004,4,Ngày 4 - Lower + Core,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00015,WP0005,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00016,WP0005,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00017,WP0005,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00018,WP0006,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00019,WP0006,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00020,WP0006,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00021,WP0007,1,Ngày 1 - Upper Push,upper_push,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00022,WP0007,2,Ngày 2 - Lower,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00023,WP0007,3,Ngày 3 - Upper Pull,upper_pull,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00024,WP0007,4,Ngày 4 - Lower + Core,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00025,WP0008,1,Ngày 1 - Upper Push,upper_push,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00026,WP0008,2,Ngày 2 - Lower,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00027,WP0008,3,Ngày 3 - Upper Pull,upper_pull,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00028,WP0008,4,Ngày 4 - Lower + Core,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00029,WP0009,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00030,WP0009,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00031,WP0009,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00032,WP0010,1,Ngày 1 - Full Body A,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00033,WP0010,2,Ngày 2 - Full Body B,full_body,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00034,WP0010,3,Ngày 3 - Core & conditioning,core_conditioning,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00035,WP0011,1,Ngày 1 - Upper Push,upper_push,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
WPD00036,WP0011,2,Ngày 2 - Lower,lower,5-8 phút cardio nhẹ + 2-4 bài mobility liên quan.,Đi bộ nhẹ 3-5 phút + giãn nhẹ các nhóm cơ vừa tập.,Giữ 1-3 RIR cho phần lớn set làm việc.
