query_id,user_query_vi,system_hint,prompt_style,intent,target_type,target_id,expected_response_vi,tags
Q0000001,Mình muốn biết Cách tập đúng bài Đẩy ngực phẳng với tạ đòn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000001,"Đẩy ngực phẳng với tạ đòn chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đòn|Ngực
Q0000002,Cách tập đúng bài Đẩy ngực phẳng với tạ đòn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000001,"Đẩy ngực phẳng với tạ đòn chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đòn|Ngực
Q0000003,Tư vấn nhanh: Cách tập đúng bài Đẩy ngực phẳng với tạ đòn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000001,"Đẩy ngực phẳng với tạ đòn chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đòn|Ngực
Q0000004,Cách tập đúng bài Đẩy ngực phẳng với tạ đòn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000001,"Đẩy ngực phẳng với tạ đòn chủ yếu tác động vào ngực. Hãy bắt đầu với setup: Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn. Trong lúc thực hiện: Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay. Nhịp thở gợi ý: Hít vào khi hạ tạ, thở ra khi đẩy tạ lên. Nếu mới tập, hãy dùng mức tạ để còn khoảng 2-3 reps dự trữ.",bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đòn|Ngực
Q0000005,Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đòn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000002,"Các lỗi hay gặp ở Đẩy ngực phẳng với tạ đòn gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực phẳng với tạ đòn
Q0000006,Giải thích giúp mình Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đòn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000002,"Các lỗi hay gặp ở Đẩy ngực phẳng với tạ đòn gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực phẳng với tạ đòn
Q0000007,Mình muốn biết Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đòn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000002,"Các lỗi hay gặp ở Đẩy ngực phẳng với tạ đòn gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực phẳng với tạ đòn
Q0000008,Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đòn là gì?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000002,"Các lỗi hay gặp ở Đẩy ngực phẳng với tạ đòn gồm: Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên. Bạn nên giảm tải nếu kỹ thuật vỡ, quay về biên độ kiểm soát được và ưu tiên cảm nhận nhóm cơ mục tiêu thay vì cố nâng nặng.",bài tập|lỗi form|Đẩy ngực phẳng với tạ đòn
Q0000009,Mình muốn biết Nên tập Đẩy ngực phẳng với tạ đòn bao nhiêu set và rep?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000003,"Với mục tiêu tăng cơ, Đẩy ngực phẳng với tạ đòn thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 90 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực phẳng với tạ đòn|programming
Q0000010,Nên tập Đẩy ngực phẳng với tạ đòn bao nhiêu set và rep?,"Bạn là trợ lý gym tiếng Việt. Trả lời ngắn gọn, chính xác, an toàn và có nêu lưu ý nếu có đau/chấn thương.",qa,faq_lookup,faq,FAQ000003,"Với mục tiêu tăng cơ, Đẩy ngực phẳng với tạ đòn thường hợp khoảng 6-12 reps. Nếu ưu tiên sức mạnh, thử 3-6 reps; nếu ưu tiên sức bền/cảm giác cơ, thử 12-20 reps. Nghỉ giữa set khoảng 90 giây và giữ tempo gợi ý 3-1-1-0.",set rep|Đẩy ngực phẳng với tạ đòn|programming
