template_id,day_name,exercise_order,exercise_name_en,sets,reps,rest,focus_group,notes_vi
fat_loss_5day,Thứ 2,1,Bench Press,4,6-8,90 giây,chest,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 2,2,Incline Dumbbell Press,3,8-10,75 giây,chest,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 2,3,Cable Fly,3,12-15,60 giây,chest,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 2,4,Triceps Pushdown,3,10-12,60 giây,triceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 2,5,Incline Treadmill Walk,1,20-30 phút,—,cardio,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 3,1,Lat Pulldown,4,8-10,75 giây,back,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 3,2,Seated Cable Row,3,8-10,75 giây,back,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 3,3,Face Pull,3,12-15,60 giây,rear_delts,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 3,4,Barbell Curl,3,10-12,60 giây,biceps,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 3,5,Cycling,1,20-30 phút,—,cardio,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 4,1,Squat,4,6-8,90 giây,quads,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 4,2,Leg Press,3,10-12,75 giây,quads,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 4,3,Leg Curl,3,10-12,60 giây,hamstrings,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 4,4,Calf Raise,4,12-15,45-60 giây,calves,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 4,5,Plank,3,30-45 giây,45 giây,abs,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
fat_loss_5day,Thứ 6,1,Overhead Press,4,6-8,90 giây,shoulders,"Giữ form chuẩn, tăng load khi hoàn thành mức reps trên với kỹ thuật tốt."
