exercise_id,exercise_name_vi,exercise_name_en,aliases_vi,category,subcategory,movement_pattern,primary_muscles,primary_muscles_vi,secondary_muscles,secondary_muscles_vi,equipment,equipment_vi,difficulty,difficulty_vi,mechanics,is_unilateral,is_compound,force_type,setup,execution_steps,breathing,common_errors,regressions,progressions,contraindications,hypertrophy_rep_range,strength_rep_range,endurance_rep_range,rest_seconds_default,tempo_default,tags
EX00001,Đẩy ngực phẳng với tạ đòn,Flat Barbell Bench Press,bench press phẳng; đẩy ngực tạ đòn,strength,chest_press,horizontal_push,chest,Ngực,front_delts|triceps,"Vai trước, Tay sau",barbell|bench,"Tạ đòn, Ghế tập",intermediate,Trung cấp,controlled,False,True,push,"Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn.","Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay.","Hít vào khi hạ tạ, thở ra khi đẩy tạ lên.",Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên.,"Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ.","Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.","Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai.",6-12,3-6,12-20,90,3-1-1-0,ngực|đẩy ngang|barbell|compound
EX00002,Đẩy ngực phẳng với tạ đơn,Flat Dumbbell Bench Press,bench press phẳng; đẩy ngực tạ đơn,strength,chest_press,horizontal_push,chest,Ngực,front_delts|triceps,"Vai trước, Tay sau",dumbbell|bench,"Tạ đơn, Ghế tập",intermediate,Trung cấp,controlled,False,True,push,"Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn.","Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay.","Hít vào khi hạ tạ, thở ra khi đẩy tạ lên.",Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên.,"Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ.","Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.","Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai.",6-12,3-6,12-20,75,3-1-1-0,ngực|đẩy ngang|dumbbell|compound
EX00003,Đẩy ngực phẳng với máy,Flat Machine Bench Press,bench press phẳng; đẩy ngực máy,strength,chest_press,horizontal_push,chest,Ngực,front_delts|triceps,"Vai trước, Tay sau",machine|bench,"Máy tập, Ghế tập",beginner,Mới bắt đầu,controlled,False,True,push,"Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn.","Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay.","Hít vào khi hạ tạ, thở ra khi đẩy tạ lên.",Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên.,"Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ.","Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.","Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai.",6-12,3-6,12-20,75,3-1-1-0,ngực|đẩy ngang|machine|compound
EX00004,Đẩy ngực phẳng với máy smith,Flat Smith Machine Bench Press,bench press phẳng; đẩy ngực máy smith,strength,chest_press,horizontal_push,chest,Ngực,front_delts|triceps,"Vai trước, Tay sau",smith_machine|bench,"Máy smith, Ghế tập",beginner,Mới bắt đầu,controlled,False,True,push,"Thiết lập ghế phẳng, siết vai sau, đặt chân chắc trên sàn.","Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay.","Hít vào khi hạ tạ, thở ra khi đẩy tạ lên.",Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên.,"Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ.","Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.","Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai.",6-12,3-6,12-20,90,3-1-1-0,ngực|đẩy ngang|smith_machine|compound
EX00005,Đẩy ngực dốc lên với tạ đòn,Incline Barbell Bench Press,bench press dốc lên; đẩy ngực tạ đòn,strength,chest_press,horizontal_push,chest,Ngực,front_delts|triceps,"Vai trước, Tay sau",barbell|bench,"Tạ đòn, Ghế tập",intermediate,Trung cấp,controlled,False,True,push,"Thiết lập ghế dốc lên, siết vai sau, đặt chân chắc trên sàn.","Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay.","Hít vào khi hạ tạ, thở ra khi đẩy tạ lên.",Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên.,"Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ.","Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.","Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai.",6-12,3-6,12-20,90,3-1-1-0,ngực|đẩy ngang|barbell|compound
EX00006,Đẩy ngực dốc lên với tạ đơn,Incline Dumbbell Bench Press,bench press dốc lên; đẩy ngực tạ đơn,strength,chest_press,horizontal_push,chest,Ngực,front_delts|triceps,"Vai trước, Tay sau",dumbbell|bench,"Tạ đơn, Ghế tập",intermediate,Trung cấp,controlled,False,True,push,"Thiết lập ghế dốc lên, siết vai sau, đặt chân chắc trên sàn.","Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay.","Hít vào khi hạ tạ, thở ra khi đẩy tạ lên.",Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên.,"Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ.","Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.","Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai.",6-12,3-6,12-20,75,3-1-1-0,ngực|đẩy ngang|dumbbell|compound
EX00007,Đẩy ngực dốc lên với máy,Incline Machine Bench Press,bench press dốc lên; đẩy ngực máy,strength,chest_press,horizontal_push,chest,Ngực,front_delts|triceps,"Vai trước, Tay sau",machine|bench,"Máy tập, Ghế tập",beginner,Mới bắt đầu,controlled,False,True,push,"Thiết lập ghế dốc lên, siết vai sau, đặt chân chắc trên sàn.","Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay.","Hít vào khi hạ tạ, thở ra khi đẩy tạ lên.",Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên.,"Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ.","Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.","Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai.",6-12,3-6,12-20,75,3-1-1-0,ngực|đẩy ngang|machine|compound
EX00008,Đẩy ngực dốc lên với máy smith,Incline Smith Machine Bench Press,bench press dốc lên; đẩy ngực máy smith,strength,chest_press,horizontal_push,chest,Ngực,front_delts|triceps,"Vai trước, Tay sau",smith_machine|bench,"Máy smith, Ghế tập",beginner,Mới bắt đầu,controlled,False,True,push,"Thiết lập ghế dốc lên, siết vai sau, đặt chân chắc trên sàn.","Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay.","Hít vào khi hạ tạ, thở ra khi đẩy tạ lên.",Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên.,"Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ.","Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.","Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai.",6-12,3-6,12-20,90,3-1-1-0,ngực|đẩy ngang|smith_machine|compound
EX00009,Đẩy ngực dốc xuống với tạ đòn,Decline Barbell Bench Press,bench press dốc xuống; đẩy ngực tạ đòn,strength,chest_press,horizontal_push,chest,Ngực,front_delts|triceps,"Vai trước, Tay sau",barbell|bench,"Tạ đòn, Ghế tập",intermediate,Trung cấp,controlled,False,True,push,"Thiết lập ghế dốc xuống, siết vai sau, đặt chân chắc trên sàn.","Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay.","Hít vào khi hạ tạ, thở ra khi đẩy tạ lên.",Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên.,"Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ.","Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.","Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai.",6-12,3-6,12-20,90,3-1-1-0,ngực|đẩy ngang|barbell|compound
EX00010,Đẩy ngực dốc xuống với tạ đơn,Decline Dumbbell Bench Press,bench press dốc xuống; đẩy ngực tạ đơn,strength,chest_press,horizontal_push,chest,Ngực,front_delts|triceps,"Vai trước, Tay sau",dumbbell|bench,"Tạ đơn, Ghế tập",intermediate,Trung cấp,controlled,False,True,push,"Thiết lập ghế dốc xuống, siết vai sau, đặt chân chắc trên sàn.","Hạ tạ có kiểm soát về vùng ngực, khuỷu tay hơi khép, đẩy lên theo quỹ đạo ổn định đến gần duỗi hết tay.","Hít vào khi hạ tạ, thở ra khi đẩy tạ lên.",Bật ngực quá mức; cổ tay gập; nảy tạ khỏi ngực; khuỷu tay xoè ngang hoàn toàn; mất độ siết lưng trên.,"Chọn máy chest press hoặc giảm ROM, giảm tạ, tập với huấn luyện viên hỗ trợ.","Tăng tải, thêm pause ở đáy, tăng set, hoặc chuyển sang biến thể barbell tự do.","Cẩn trọng nếu đau vai trước, viêm gân vai, mất ổn định khớp vai.",6-12,3-6,12-20,75,3-1-1-0,ngực|đẩy ngang|dumbbell|compound
