plan_exercise_id,plan_day_id,plan_id,exercise_order,exercise_id,sets,reps,rir_target,rest_seconds,tempo,superset_group,note
WPE000001,WPD00001,WP0001,1,EX00167,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000002,WPD00001,WP0001,2,EX00087,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000003,WPD00001,WP0001,3,EX00002,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000004,WPD00001,WP0001,4,EX00060,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000005,WPD00001,WP0001,5,EX00107,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000006,WPD00001,WP0001,6,EX00121,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000007,WPD00002,WP0001,1,EX00073,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000008,WPD00002,WP0001,2,EX00186,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000009,WPD00002,WP0001,3,EX00007,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000010,WPD00002,WP0001,4,EX00152,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000011,WPD00002,WP0001,5,EX00105,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000012,WPD00002,WP0001,6,EX00201,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000013,WPD00003,WP0001,1,EX00117,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000014,WPD00003,WP0001,2,EX00105,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000015,WPD00003,WP0001,3,EX00104,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000016,WPD00003,WP0001,4,EX00106,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000017,WPD00003,WP0001,5,EX00110,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000018,WPD00004,WP0002,1,EX00171,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000019,WPD00004,WP0002,2,EX00189,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000020,WPD00004,WP0002,3,EX00011,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000021,WPD00004,WP0002,4,EX00145,4,6-12,2,75,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000022,WPD00004,WP0002,5,EX00109,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
WPE000023,WPD00004,WP0002,6,EX00122,3,10-15,1-2,45,2-1-2-0,,Ưu tiên kỹ thuật sạch và biên độ ổn định.
