query_id,query_text,intent,target_type,target_id,language,difficulty_scope,tags
Q0000001,Mình muốn biết Cách tập đúng bài Đẩy ngực phẳng với tạ đòn là gì?,faq_lookup,faq,FAQ000001,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đòn|Ngực
Q0000002,Cách tập đúng bài Đẩy ngực phẳng với tạ đòn là gì?,faq_lookup,faq,FAQ000001,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đòn|Ngực
Q0000003,Tư vấn nhanh: Cách tập đúng bài Đẩy ngực phẳng với tạ đòn là gì?,faq_lookup,faq,FAQ000001,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đòn|Ngực
Q0000004,Cách tập đúng bài Đẩy ngực phẳng với tạ đòn là gì?,faq_lookup,faq,FAQ000001,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đòn|Ngực
Q0000005,Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đòn là gì?,faq_lookup,faq,FAQ000002,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với tạ đòn
Q0000006,Giải thích giúp mình Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đòn là gì?,faq_lookup,faq,FAQ000002,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với tạ đòn
Q0000007,Mình muốn biết Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đòn là gì?,faq_lookup,faq,FAQ000002,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với tạ đòn
Q0000008,Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đòn là gì?,faq_lookup,faq,FAQ000002,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với tạ đòn
Q0000009,Mình muốn biết Nên tập Đẩy ngực phẳng với tạ đòn bao nhiêu set và rep?,faq_lookup,faq,FAQ000003,vi,all,set rep|Đẩy ngực phẳng với tạ đòn|programming
Q0000010,Nên tập Đẩy ngực phẳng với tạ đòn bao nhiêu set và rep?,faq_lookup,faq,FAQ000003,vi,all,set rep|Đẩy ngực phẳng với tạ đòn|programming
Q0000011,Tư vấn nhanh: Nên tập Đẩy ngực phẳng với tạ đòn bao nhiêu set và rep?,faq_lookup,faq,FAQ000003,vi,all,set rep|Đẩy ngực phẳng với tạ đòn|programming
Q0000012,Nên tập Đẩy ngực phẳng với tạ đòn bao nhiêu set và rep?,faq_lookup,faq,FAQ000003,vi,all,set rep|Đẩy ngực phẳng với tạ đòn|programming
Q0000013,"Giải thích giúp mình Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đòn bằng gì?",faq_lookup,faq,FAQ000004,vi,all,"thay bài|equipment|Đẩy ngực phẳng với tạ đòn|Tạ đòn, Ghế tập"
Q0000014,"Cho mình hỏi Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đòn bằng gì?",faq_lookup,faq,FAQ000004,vi,all,"thay bài|equipment|Đẩy ngực phẳng với tạ đòn|Tạ đòn, Ghế tập"
Q0000015,"Tư vấn nhanh: Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đòn bằng gì?",faq_lookup,faq,FAQ000004,vi,all,"thay bài|equipment|Đẩy ngực phẳng với tạ đòn|Tạ đòn, Ghế tập"
Q0000016,"Nếu không có tạ đòn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đòn bằng gì?",faq_lookup,faq,FAQ000004,vi,all,"thay bài|equipment|Đẩy ngực phẳng với tạ đòn|Tạ đòn, Ghế tập"
Q0000017,Cho mình hỏi Cách tập đúng bài Đẩy ngực phẳng với tạ đơn là gì?,faq_lookup,faq,FAQ000005,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đơn|Ngực
Q0000018,Giải thích giúp mình Cách tập đúng bài Đẩy ngực phẳng với tạ đơn là gì?,faq_lookup,faq,FAQ000005,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đơn|Ngực
Q0000019,Tư vấn nhanh: Cách tập đúng bài Đẩy ngực phẳng với tạ đơn là gì?,faq_lookup,faq,FAQ000005,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đơn|Ngực
Q0000020,Cách tập đúng bài Đẩy ngực phẳng với tạ đơn là gì?,faq_lookup,faq,FAQ000005,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với tạ đơn|Ngực
Q0000021,Mình muốn biết Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đơn là gì?,faq_lookup,faq,FAQ000006,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với tạ đơn
Q0000022,Tư vấn nhanh: Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đơn là gì?,faq_lookup,faq,FAQ000006,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với tạ đơn
Q0000023,Cho mình hỏi Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đơn là gì?,faq_lookup,faq,FAQ000006,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với tạ đơn
Q0000024,Lỗi thường gặp khi tập Đẩy ngực phẳng với tạ đơn là gì?,faq_lookup,faq,FAQ000006,vi,all,bài tập|lỗi form|Đẩy ngực phẳng với tạ đơn
Q0000025,Tư vấn nhanh: Nên tập Đẩy ngực phẳng với tạ đơn bao nhiêu set và rep?,faq_lookup,faq,FAQ000007,vi,all,set rep|Đẩy ngực phẳng với tạ đơn|programming
Q0000026,Cho mình hỏi Nên tập Đẩy ngực phẳng với tạ đơn bao nhiêu set và rep?,faq_lookup,faq,FAQ000007,vi,all,set rep|Đẩy ngực phẳng với tạ đơn|programming
Q0000027,Mình muốn biết Nên tập Đẩy ngực phẳng với tạ đơn bao nhiêu set và rep?,faq_lookup,faq,FAQ000007,vi,all,set rep|Đẩy ngực phẳng với tạ đơn|programming
Q0000028,Nên tập Đẩy ngực phẳng với tạ đơn bao nhiêu set và rep?,faq_lookup,faq,FAQ000007,vi,all,set rep|Đẩy ngực phẳng với tạ đơn|programming
Q0000029,"Giải thích giúp mình Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đơn bằng gì?",faq_lookup,faq,FAQ000008,vi,all,"thay bài|equipment|Đẩy ngực phẳng với tạ đơn|Tạ đơn, Ghế tập"
Q0000030,"Mình muốn biết Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đơn bằng gì?",faq_lookup,faq,FAQ000008,vi,all,"thay bài|equipment|Đẩy ngực phẳng với tạ đơn|Tạ đơn, Ghế tập"
Q0000031,"Tư vấn nhanh: Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đơn bằng gì?",faq_lookup,faq,FAQ000008,vi,all,"thay bài|equipment|Đẩy ngực phẳng với tạ đơn|Tạ đơn, Ghế tập"
Q0000032,"Nếu không có tạ đơn, ghế tập thì thay bài Đẩy ngực phẳng với tạ đơn bằng gì?",faq_lookup,faq,FAQ000008,vi,all,"thay bài|equipment|Đẩy ngực phẳng với tạ đơn|Tạ đơn, Ghế tập"
Q0000033,Cách tập đúng bài Đẩy ngực phẳng với máy là gì?,faq_lookup,faq,FAQ000009,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với máy|Ngực
Q0000034,Tư vấn nhanh: Cách tập đúng bài Đẩy ngực phẳng với máy là gì?,faq_lookup,faq,FAQ000009,vi,all,bài tập|kỹ thuật|Đẩy ngực phẳng với máy|Ngực
