plan_id,plan_title_vi,goal_code,goal_name_vi,level_code,level_name_vi,duration_weeks,days_per_week,split_type,equipment_profile,calorie_hint,plan_overview,progression_rule,deload_guideline,notes
WP0001,Plan Tăng cơ 3 buổi/tuần - Mới bắt đầu,muscle_gain,Tăng cơ,beginner,Mới bắt đầu,8,3,full_body,gym,+200 đến +300 kcal so với duy trì,"Plan tăng cơ dành cho mức mới bắt đầu, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0002,Plan Tăng cơ 3 buổi/tuần - Mới bắt đầu (biến thể B),muscle_gain,Tăng cơ,beginner,Mới bắt đầu,8,3,full_body,gym,+200 đến +300 kcal so với duy trì,"Plan tăng cơ dành cho mức mới bắt đầu, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0003,Plan Tăng cơ 4 buổi/tuần - Mới bắt đầu,muscle_gain,Tăng cơ,beginner,Mới bắt đầu,8,4,upper_lower,gym,+200 đến +300 kcal so với duy trì,"Plan tăng cơ dành cho mức mới bắt đầu, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0004,Plan Tăng cơ 4 buổi/tuần - Mới bắt đầu (biến thể B),muscle_gain,Tăng cơ,beginner,Mới bắt đầu,8,4,upper_lower,gym,+200 đến +300 kcal so với duy trì,"Plan tăng cơ dành cho mức mới bắt đầu, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0005,Plan Tăng cơ 3 buổi/tuần - Trung cấp,muscle_gain,Tăng cơ,intermediate,Trung cấp,8,3,full_body,gym,+200 đến +300 kcal so với duy trì,"Plan tăng cơ dành cho mức trung cấp, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0006,Plan Tăng cơ 3 buổi/tuần - Trung cấp (biến thể B),muscle_gain,Tăng cơ,intermediate,Trung cấp,8,3,full_body,gym,+200 đến +300 kcal so với duy trì,"Plan tăng cơ dành cho mức trung cấp, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0007,Plan Tăng cơ 4 buổi/tuần - Trung cấp,muscle_gain,Tăng cơ,intermediate,Trung cấp,8,4,upper_lower,gym,+200 đến +300 kcal so với duy trì,"Plan tăng cơ dành cho mức trung cấp, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0008,Plan Tăng cơ 4 buổi/tuần - Trung cấp (biến thể B),muscle_gain,Tăng cơ,intermediate,Trung cấp,8,4,upper_lower,gym,+200 đến +300 kcal so với duy trì,"Plan tăng cơ dành cho mức trung cấp, tần suất 4 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0009,Plan Tăng cơ 3 buổi/tuần - Nâng cao,muscle_gain,Tăng cơ,advanced,Nâng cao,8,3,full_body,gym,+200 đến +300 kcal so với duy trì,"Plan tăng cơ dành cho mức nâng cao, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
WP0010,Plan Tăng cơ 3 buổi/tuần - Nâng cao (biến thể B),muscle_gain,Tăng cơ,advanced,Nâng cao,8,3,full_body,gym,+200 đến +300 kcal so với duy trì,"Plan tăng cơ dành cho mức nâng cao, tần suất 3 buổi/tuần, ưu tiên tải tiến bộ, kỹ thuật sạch và hồi phục hợp lý.",Tăng 1-2 rep mỗi tuần hoặc tăng 2.5-5% tải khi hoàn thành ngưỡng rep với kỹ thuật tốt.,"Tuần cuối hoặc sau 4-6 tuần: giảm 30-40% volume, giữ kỹ thuật và cảm giác hồi phục.","Đây là plan tổng quát cho RAG/tri thức, cần cá nhân hoá nếu có chấn thương hoặc hạn chế y tế."
